国内卫视,#genre#
CCTV-4,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv4hd.m3u8
CCTV-5http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv5hd.m3u8
CCTV-5+,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv5phd.m3u8
CCTV-6,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv6hd.m3u8
CCTV-7,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv7hd.m3u8
CCTV-8,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv8hd.m3u8
CCTV-9,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv9hd.m3u8
CCTV-10,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv10hd.m3u8
CCTV-11,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv11hd.m3u8
CCTV-12,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv12hd.m3u8
CCTV-13,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv13hd.m3u8
CCTV-14,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv14hd.m3u8
CCTV-15,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv15hd.m3u8
CCTV-16,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv16hd.m3u8
CCTV-17,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv17hd.m3u8
中国教育1,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cetv1hd.m3u8
北京卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/btv1hd.m3u8
浙江卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/zjhd.m3u8
东方卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/dfhd.m3u8
广东卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/gdhd.m3u8
深圳卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/szhd.m3u8
江苏卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/jshd.m3u8
海南卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/lyhd.m3u8
东南卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/dnhd.m3u8
四川卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/schd.m3u8
河北卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hebhd.m3u8
河南卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hnhd.m3u8
湖南卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hunanhd.m3u8
湖北卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hbhd.m3u8
江西卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/jxhd.m3u8
安徽卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/ahhd.m3u8
山东卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/sdhd.m3u8
天津卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/tjhd.m3u8
吉林卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/jlhd.m3u8
辽宁卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/lnhd.m3u8
广西卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/gxhd.m3u8
贵州卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/gzhd.m3u8
重庆卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cqhd.m3u8
黑龙江卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hljhd.m3u8
青海卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/qhtv.m3u8
宁夏卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/nxtv.m3u8
甘肃卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/gstv.m3u8
兵团卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/bttv.m3u8
三沙卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/sstv.m3u8
陕西卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/sxtv.m3u8
西藏卫视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/xztv.m3u8

CCTV-1,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV-7,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-8,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-9,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-16,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV-16,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV-17,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CGTN,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CGTN-纪实,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2010155403.m3u8
深圳卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广东卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
浙江卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
湖南卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
东方卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
北京卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
江苏卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
湖北卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
广西卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
黑龙江卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
海南卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
重庆卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
四川卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
河南卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
东南卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
贵州卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
江西卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
辽宁卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
安徽卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河北卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://106.225.230.119/tlivectfree-cdn.ysp.cctv.cn/ysp/2000294803.m3u8

$-$福建三明移动
CCTV-1,http://39.135.55.7:6610/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-2,http://39.135.55.7:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-3,http://39.135.55.7:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-4,http://39.135.55.7:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-5,http://39.135.55.7:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-5+,http://39.135.55.7:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-6,http://39.135.55.7:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-7,http://39.135.55.7:6610/PLTV/88888888/224/3221226972/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-8,http://39.135.55.7:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-9,http://39.135.55.7:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-10,http://39.135.55.7:6610/PLTV/88888888/224/3221226976/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-11,http://39.135.55.7:6610/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-12,http://39.135.55.7:6610/PLTV/88888888/224/3221226931/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-13,http://39.135.55.7:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-14,http://39.135.55.7:6610/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-15,http://39.135.55.7:6610/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-16,http://39.135.55.7:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1&IASHttpSessionId=OTT
CCTV-17,http://39.135.55.7:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1&IASHttpSessionId=OTT
中国气象,http://39.135.55.7:6610/PLTV/88888888/224/3221227210/index.m3u8?servicetype=1&IASHttpSessionId=OTT
中国教育1,http://39.135.55.105:6610/PLTV/88888888/224/3221227067/index.m3u8?servicetype=1
中国教育2,http://39.135.55.7:6610/PLTV/88888888/224/3221227206/index.m3u8?servicetype=1&IASHttpSessionId=OTT
中国教育4,http://39.135.55.7:6610/PLTV/88888888/224/3221227192/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北京卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1&IASHttpSessionId=OTT
浙江卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广东卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1&IASHttpSessionId=OTT
东方卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221226603/index.m3u8?servicetype=1
江苏卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1&IASHttpSessionId=OTT
安徽卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227232/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1&IASHttpSessionId=OTT
天津卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1&IASHttpSessionId=OTT
深圳卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1&IASHttpSessionId=OTT
东南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1
云南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=OTT
辽宁卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1&IASHttpSessionId=OTT
吉林卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1
重庆卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1&IASHttpSessionId=OTT
江西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1&IASHttpSessionId=OTT
四川卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1&IASHttpSessionId=OTT
湖北卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221226863/index.m3u8?servicetype=1
贵州卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑龙江卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海峡卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河北卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1&IASHttpSessionId=OTT
甘肃卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南方卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227214/index.m3u8?servicetype=1&IASHttpSessionId=OTT
西藏卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227217/index.m3u8?servicetype=1&IASHttpSessionId=OTT
陕西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227221/index.m3u8?servicetype=1&IASHttpSessionId=OTT
内蒙古卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227244/index.m3u8?servicetype=1&IASHttpSessionId=OTT
新疆卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227248/index.m3u8?servicetype=1&IASHttpSessionId=OTT
宁夏卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227254/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山西卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227258/index.m3u8?servicetype=1&IASHttpSessionId=OTT
三沙卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1&IASHttpSessionId=OTT
兵团卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227168/index.m3u8?servicetype=1&IASHttpSessionId=OTT
青海卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1&IASHttpSessionId=OTT

$-$四川 易视腾 1 
CCTV-1,http://182.151.211.171:808/hls/1/index.m3u8
CCTV-2,http://182.151.211.171:808/hls/2/index.m3u8
CCTV-3,http://182.151.211.171:808/hls/3/index.m3u8
CCTV-4,http://182.151.211.171:808/hls/4/index.m3u8
CCTV-5,http://182.151.211.171:808/hls/5/index.m3u8
CCTV-5+,http://182.151.211.171:808/hls/19/index.m3u8
CCTV-6,http://182.151.211.171:808/hls/6/index.m3u8
CCTV-7,http://182.151.211.171:808/hls/7/index.m3u8
CCTV-8,http://182.151.211.171:808/hls/8/index.m3u8
CCTV-9,http://182.151.211.171:808/hls/9/index.m3u8
CCTV-10,http://182.151.211.171:808/hls/10/index.m3u8
CCTV-11,http://182.151.211.171:808/hls/11/index.m3u8
CCTV-12,http://182.151.211.171:808/hls/12/index.m3u8
CCTV-13,http://182.151.211.171:808/hls/13/index.m3u8
CCTV-14,http://182.151.211.171:808/hls/14/index.m3u8
CCTV-15,http://182.151.211.171:808/hls/15/index.m3u8
CCTV-16,http://182.151.211.171:808/hls/18/index.m3u8
CCTV-17,http://182.151.211.171:808/hls/17/index.m3u8
安徽卫视,http://182.151.211.171:808/hls/66/index.m3u8
北京卫视,http://182.151.211.171:808/hls/45/index.m3u8
东方卫视,http://182.151.211.171:808/hls/44/index.m3u8
东南卫视,http://182.151.211.171:808/hls/61/index.m3u8
甘肃卫视,http://182.151.211.171:808/hls/80/index.m3u8
广东卫视,http://182.151.211.171:808/hls/47/index.m3u8
广西卫视,http://182.151.211.171:808/hls/70/index.m3u8
贵州卫视,http://182.151.211.171:808/hls/64/index.m3u8
河北卫视,http://182.151.211.171:808/hls/67/index.m3u8
河南卫视,http://182.151.211.171:808/hls/69/index.m3u8
黑龙江卫视,http://182.151.211.171:808/hls/62/index.m3u8
湖北卫视,http://182.151.211.171:808/hls/65/index.m3u8
湖南卫视,http://182.151.211.171:808/hls/41/index.m3u8
吉林卫视,http://182.151.211.171:808/hls/72/index.m3u8
江苏卫视,http://182.151.211.171:808/hls/42/index.m3u8
江西卫视,http://182.151.211.171:808/hls/60/index.m3u8
辽宁卫视,http://182.151.211.171:808/hls/68/index.m3u8
山东卫视,http://182.151.211.171:808/hls/49/index.m3u8
深圳卫视,http://182.151.211.171:808/hls/46/index.m3u8
四川卫视,http://182.151.211.171:808/hls/40/index.m3u8
天津卫视,http://182.151.211.171:808/hls/48/index.m3u8
浙江卫视,http://182.151.211.171:808/hls/43/index.m3u8
重庆卫视,http://182.151.211.171:808/hls/63/index.m3u8

$-$江西 南昌 移动 2
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CNC中文,http://39.134.115.163:8080/PLTV/88888910/224/3221225694/index.m3u8
CNC英文,http://39.134.115.163:8080/PLTV/88888910/224/3221225693/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
黑龙江卫视,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8


$-$浙江移动3

CCTV-1,http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8
CCTV-2,http://117.148.179.160/PLTV/88888888/224/3221231678/index.m3u8 
CCTV-3,http://117.148.179.165/PLTV/88888888/224/3221231682/index.m3u8
CCTV-4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8 
CCTV-4欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8 
CCTV-4欧洲,http://117.148.179.147/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4美洲,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8 
CCTV-5,http://117.148.179.165/PLTV/88888888/224/3221231702/index.m3u8 
CCTV-5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8 
CCTV-5+,http://117.148.179.147/PLTV/88888888/224/3221231459/index.m3u8
CCTV-6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV-7,http://117.148.179.159/PLTV/88888888/224/3221231633/index.m3u8 
CCTV-8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8  
CCTV-9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8 
